קבוצה,רישוי,קילומטרז'_חדש,קילומטרז'_קודם,הפרש יומי,חריגה
6 נוסעים,11830404,175007,150006,25001,חריגה
8 נוסעים,11924302,479001,479001,0,תקין
8 נוסעים,11924402,465001,465001,0,תקין
8 נוסעים,12018902,150446,150446,0,תקין
8 נוסעים,12019102,202331,202331,0,תקין
8 נוסעים,12019602,126042,126042,0,תקין
4 נוסעים,12192703,268435,268435,0,תקין
4 נוסעים,12192803,258881,258881,0,תקין
4 נוסעים,12192903,239572,239572,0,תקין
4 נוסעים,12193003,264851,264851,0,תקין
4 נוסעים,12193103,225280,225280,0,תקין
4 נוסעים,15574602,294437,294437,0,תקין
8 נוסעים,16525502,216047,216047,0,תקין
8 נוסעים,16525702,258698,258698,0,תקין
8 נוסעים,16526002,255642,255642,0,תקין
8 נוסעים,16526102,278140,278140,0,תקין
8 נוסעים,16526302,307412,307412,0,תקין
8 נוסעים,16526402,2601036,2601036,0,תקין
14 נוסעים,17829802,372592,372592,0,תקין
4 נוסעים,19517401,414601,414601,0,תקין
14 נוסעים,19899303,191624,191624,0,תקין
14 נוסעים,19899503,212845,212845,0,תקין
16 נוסעים,20614803,178191,178191,0,תקין
4 נוסעים,20772801,453748,453748,0,תקין
8 נוסעים,24801403,187264,187264,0,תקין
8 נוסעים,24801503,163659,163659,0,תקין
8 נוסעים,24801603,212502,212502,0,תקין
4 נוסעים,2622184,481836,481836,0,תקין
4 נוסעים,2622584,446363,446363,0,תקין
4 נוסעים,2622684,510921,510921,0,תקין
4 נוסעים,2622984,394614,394614,0,תקין
4 נוסעים,2623084,473076,473076,0,תקין
4 נוסעים,2623284,433150,433150,0,תקין
4 נוסעים,2623484,443376,443376,0,תקין
4 נוסעים,2888933,415541,415541,0,תקין
4 נוסעים,2912833,311490,311490,0,תקין
14 נוסעים,34112603,176372,176372,0,תקין
14 נוסעים,34117103,220033,220033,0,תקין
14 נוסעים,34130603,207922,207922,0,תקין
14 נוסעים,34163403,162800,162800,0,תקין
20 נוסעים,41331103,227126,227126,0,תקין
20 נוסעים,41331203,188996,188996,0,תקין
20 נוסעים,41331303,211029,211029,0,תקין
20 נוסעים,41634403,218989,218989,0,תקין
20 נוסעים,41634503,183084,183084,0,תקין
14 נוסעים,48604403,198480,198480,0,תקין
14 נוסעים,48605603,167172,167172,0,תקין
14 נוסעים,48631903,219774,219774,0,תקין
20 נוסעים,48655403,127951,127951,0,תקין
20 נוסעים,48655803,148981,148981,0,תקין
20 נוסעים,48656203,108903,108903,0,תקין
20 נוסעים,48656803,118888,118888,0,תקין
19 נוסעים,48661703,116958,116958,0,תקין
20 נוסעים,48667103,37225,37225,0,תקין
20 נוסעים,48669303,114989,114989,0,תקין
4 נוסעים,5295384,449609,449609,0,תקין
מונית 4 נוסעים,5351226,123102,123102,0,תקין
מונית 4 נוסעים,5351326,178649,178649,0,תקין
תא כפול סגור טנדר,53646102,173362,173362,0,תקין
תא כפול סגור טנדר,53646202,210880,210880,0,תקין
תא כפול סגור טנדר,53646302,173519,173519,0,תקין
14 נוסעים,54044301,476621,476621,0,תקין
4 נוסעים,58615601,395439,395439,0,תקין
מונית 4 נוסעים,5968726,94622,94622,0,תקין
מונית 4 נוסעים,5968826,106128,106128,0,תקין
מונית 4 נוסעים,5968926,101553,101553,0,תקין
מונית 4 נוסעים,5969026,78600,78600,0,תקין
4 נוסעים,59260103,112398,112398,0,תקין
4 נוסעים,59260203,118839,118839,0,תקין
4 נוסעים,59260303,117935,117935,0,תקין
4 נוסעים,59260503,121326,121326,0,תקין
4 נוסעים,59260603,90692,90692,0,תקין
4 נוסעים,59260703,112149,112149,0,תקין
4 נוסעים,59260803,115505,115505,0,תקין
4 נוסעים,59260903,146928,146928,0,תקין
4 נוסעים,59261003,99953,99953,0,תקין
20 נוסעים,62916303,76304,76304,0,תקין
20 נוסעים,62941103,53061,53061,0,תקין
19 נוסעים,62942803,46977,46977,0,תקין
20 נוסעים,62955203,48454,48454,0,תקין
20 נוסעים,62955303,107598,107598,0,תקין
7 נוסעים,62997703,27545,27545,0,תקין
6 נוסעים,62997903,22304,22304,0,תקין
מונית 4 נוסעים,6430626,99482,99482,0,תקין
16 נוסעים,66313501,294178,294178,0,תקין
14 נוסעים,66980401,343477,343477,0,תקין
14 נוסעים,67002101,411030,411030,0,תקין
20 נוסעים,67337102,260093,260093,0,תקין
20 נוסעים,67337302,363161,363161,0,תקין
4 נוסעים,6912412,351860,351860,0,תקין
תא כפול משאית,69731103,32605,32605,0,תקין
4 נוסעים,71530402,317117,317117,0,תקין
4 נוסעים,71530502,9747,9747,0,תקין
4 נוסעים,71530602,338836,338836,0,תקין
4 נוסעים,71530702,258901,258901,0,תקין
4 נוסעים,71530802,298296,298296,0,תקין
4 נוסעים,7324984,423193,423193,0,תקין
4 נוסעים,7587684,509556,509556,0,תקין
תא כפול משאית,75438703,21852,21852,0,תקין
13 נוסעים,7698369,180097,180097,0,תקין
תא כפול פתוח טנדר,77719603,48850,48850,0,תקין
תא כפול פתוח טנדר,77719703,40034,40034,0,תקין
תא כפול פתוח טנדר,77719803,40730,40730,0,תקין
13 נוסעים,7821369,137596,137596,0,תקין
7 נוסעים,78606103,54746,54746,0,תקין
7 נוסעים,78606203,63722,63722,0,תקין
7 נוסעים,78606303,56907,56907,0,תקין
7 נוסעים,78606403,47150,47150,0,תקין
7 נוסעים,78609203,17576,17576,0,תקין
7 נוסעים,78639203,26852,26852,0,תקין
4 נוסעים,7903784,311031,311031,0,תקין
4 נוסעים,7903884,322850,322850,0,תקין
4 נוסעים,83158002,266115,266115,0,תקין
4 נוסעים,83158102,212212,212212,0,תקין
4 נוסעים,83158302,272357,272357,0,תקין
4 נוסעים,83158402,260205,260205,0,תקין
תא כפול פתוח טנדר,84567003,31918,31918,0,תקין
תא כפול פתוח טנדר,84567103,32420,32420,0,תקין
תא כפול פתוח טנדר,84567203,27238,27238,0,תקין
תא כפול פתוח טנדר,84567303,22072,22072,0,תקין
תא כפול פתוח טנדר,84567403,21694,21694,0,תקין
תא כפול פתוח טנדר,84567503,25326,25326,0,תקין
תא כפול פתוח טנדר,84567603,25156,25156,0,תקין
4 נוסעים,8580837,407928,407928,0,תקין
20 נוסעים,85211202,286449,286449,0,תקין
14 נוסעים,85214302,316877,316877,0,תקין
14 נוסעים,85214502,269428,269428,0,תקין
14 נוסעים,85214602,347041,347041,0,תקין
14 נוסעים,85214702,367683,367683,0,תקין
14 נוסעים,85214902,314723,314723,0,תקין
10 נוסעים,8613954,749383,749383,0,תקין
10 נוסעים,8756154,826782,826782,0,תקין
4 נוסעים,90319901,382758,382758,0,תקין
4 נוסעים,91051701,414150,414150,0,תקין
8 נוסעים,91668801,312371,312371,0,תקין
4 נוסעים,92080301,422500,422500,0,תקין
